# Time(Gyr) Mg(Msol) Ms(Msol) SFR(Msol/yr) SSFR(/yr) Md(Msol) M_Z(Msol) Z, f_g 
9.6 8661292746.78 52912295409.35 2.52 4.76575853314e-11 540051529.84 622096349.00 0.0714177883068 0.14 
9.65 8592762434.75 53037494467.66 2.50 4.72115282089e-11 539201163.52 620675281.78 0.0718248842509 0.14 
9.7 8524709301.45 53161815886.35 2.49 4.67709451277e-11 538329153.82 619236089.76 0.0722323334897 0.14 
9.75 8457129617.23 53285266525.11 2.47 4.63357497549e-11 537435819.12 617779057.80 0.0726401414826 0.14 
9.8 8390019681.57 53407853190.05 2.45 4.59058575153e-11 536521473.42 616304467.00 0.0730483137611 0.14 
9.85 8323375822.86 53529582634.05 2.43 4.5481185546e-11 535586426.36 614812594.69 0.07345685593 0.13 
9.9 8257194398.22 53650461557.22 2.42 4.50616526544e-11 534630983.28 613303714.48 0.0738657736684 0.13 
9.95 8191471793.22 53770496607.31 2.40 4.46471792755e-11 533655445.34 611778096.31 0.0742750727309 0.13 
10.0 8126204421.69 53889694380.10 2.38 4.42376874307e-11 532660109.50 610236006.48 0.0746847589488 0.13 
10.05 8077835157.99 54008061419.81 2.37 4.38331006901e-11 531654485.31 608698189.19 0.0750948382311 0.13 
10.1 8029788687.93 54125604219.53 2.35 4.34333441326e-11 530626573.34 607159296.68 0.0753541236334 0.13 
10.15 7982062488.52 54242329221.59 2.33 4.30383443095e-11 529580025.82 605621910.28 0.0756133592398 0.13 
10.2 7934654056.51 54358242817.96 2.32 4.26480292086e-11 528516917.68 604085457.05 0.0758728600724 0.13 
10.25 7887560908.21 54473351350.66 2.30 4.22623282192e-11 527439016.11 602549422.16 0.076132551306 0.13 
10.3 7840780579.31 54587661112.14 2.29 4.18811720974e-11 526348059.00 601013862.49 0.0763923637709 0.13 
10.35 7794310624.81 54701178345.64 2.27 4.15044929344e-11 525245569.87 599478833.13 0.0766522996545 0.12 
10.4 7748148618.79 54813909245.65 2.25 4.11322241234e-11 524132883.25 597944382.51 0.0769123610782 0.12 
10.45 7702292154.30 54925859958.21 2.24 4.07643003291e-11 523010824.79 596409789.19 0.0771725494608 0.12 
10.5 7656738843.19 55037036581.33 2.22 4.04006574572e-11 521880384.20 594875117.62 0.0774327664082 0.12 
10.55 7611486316.01 55147445165.36 2.21 4.00412326252e-11 520742434.75 593340431.97 0.0776930139323 0.12 
10.6 7566532221.79 55257091713.35 2.19 3.96859641341e-11 519597747.32 591805794.43 0.0779532941837 0.12 
10.65 7521874227.96 55365982181.45 2.18 3.933479144e-11 518447005.77 590271270.81 0.0782136092315 0.12 
10.7 7477510020.17 55474122479.24 2.16 3.8987655128e-11 517290816.52 588736926.41 0.0784739617976 0.12 
10.75 7433437302.17 55581518470.11 2.15 3.86444968855e-11 516129714.68 587202817.87 0.0787343547275 0.12 
10.8 7389653795.65 55688175971.63 2.13 3.83052594766e-11 514964175.47 585669000.79 0.0789947898929 0.12 
10.85 7346157240.10 55794100755.89 2.12 3.79698867181e-11 513794621.44 584135529.26 0.0792552691895 0.12 
10.9 7302945392.70 55899298549.87 2.10 3.76383234543e-11 512621429.17 582602456.33 0.0795157944711 0.12 
10.95 7260016028.14 56003775035.80 2.09 3.73105155351e-11 511444935.10 581069834.34 0.0797763676156 0.11 
11.0 7217366938.51 56107535851.47 2.08 3.69864097913e-11 510265439.00 579537711.63 0.0800369905646 0.11 
11.05 7174995933.16 56210586590.62 2.06 3.66659540143e-11 509083210.03 578006136.73 0.0802976648639 0.11 
11.1 7132900838.56 56312932803.27 2.05 3.63490969336e-11 507898490.07 576475157.25 0.0805583922432 0.11 
11.15 7091079498.16 56414579996.07 2.03 3.60357881954e-11 506711497.07 574944819.88 0.0808191744562 0.11 
11.2 7049529772.28 56515533632.60 2.02 3.57259783433e-11 505522050.23 573414331.01 0.0810800132804 0.11 
11.25 7008249537.97 56615799133.76 2.01 3.54196187978e-11 504330284.02 571883754.65 0.0813407914469 0.11 
11.3 6967236688.84 56715381878.08 1.99 3.51166618368e-11 503136324.73 570353154.60 0.0816015114126 0.11 
11.35 6926489135.00 56814287202.04 1.98 3.48170605773e-11 501940290.64 568822592.50 0.0818621757904 0.11 
11.4 6886004802.88 56912520400.41 1.96 3.45207689564e-11 500743271.60 567294303.16 0.0821227870874 0.11 
11.45 6845781635.11 57010086726.59 1.95 3.4227741714e-11 499545479.70 565768280.23 0.0823836635904 0.11 
11.5 6805817590.40 57106991392.90 1.94 3.39379343751e-11 498347102.50 564244521.18 0.0826448038197 0.11 
11.55 6766110643.44 57203239570.94 1.92 3.36513032331e-11 497148305.76 562723025.62 0.0829062068866 0.11 
11.6 6726658784.73 57298836391.86 1.91 3.33678053332e-11 495949235.84 561203793.93 0.0831678722497 0.11 
11.65 6687460020.46 57393786946.74 1.90 3.30873984559e-11 494750021.89 559686826.43 0.0834297995324 0.10 
11.7 6648512372.44 57488096286.85 1.89 3.2810041102e-11 493550777.96 558172123.36 0.0836919883962 0.10 
11.75 6609813877.93 57581769423.96 1.87 3.25356924774e-11 492351605.45 556659686.17 0.0839544385414 0.10 
11.8 6571362589.50 57674811330.70 1.86 3.22643124769e-11 491152594.88 555149517.50 0.0842171498999 0.10 
11.85 6533156574.99 57767226940.82 1.85 3.19958616718e-11 489953826.75 553641619.82 0.0844801226433 0.10 
11.9 6495193917.31 57859021149.50 1.84 3.1730301294e-11 488755358.98 552135964.75 0.0847433569766 0.10 
11.95 6457472714.36 57950198813.67 1.82 3.14675932228e-11 487557252.49 550632551.84 0.0850068484147 0.10 
12.0 6419991078.91 58040764752.30 1.81 3.12076999717e-11 486359561.97 549131381.44 0.085270596748 0.10 
12.05 6382747138.49 58130723746.68 1.80 3.09505846753e-11 485162336.33 547632453.77 0.085534601947 0.10 
12.1 6345739035.24 58220080540.74 1.79 3.06962110762e-11 483965619.39 546135768.91 0.0857988640141 0.10 
12.15 6308964925.85 58308839841.32 1.78 3.04445435123e-11 482769450.49 544641326.79 0.0860633829841 0.10 
12.2 6272422981.40 58397006318.49 1.76 3.01955469057e-11 481573865.08 543149127.24 0.0863281589277 0.10 
12.25 6236070096.57 58484584605.81 1.75 2.99491867496e-11 480378643.17 541658610.02 0.0865931919525 0.10 
12.3 6199946073.14 58571579300.61 1.74 2.97054290976e-11 479184035.99 540170288.51 0.0868589675277 0.10 
12.35 6164049122.31 58657994964.31 1.73 2.94642405521e-11 477990069.70 538684166.33 0.0871249978854 0.10 
12.4 6128377469.26 58743836122.66 1.72 2.92255882531e-11 476796768.04 537200245.72 0.0873912838204 0.09 
12.45 6092929353.04 58829107266.03 1.71 2.89894398681e-11 475604152.95 535718528.59 0.0876578259766 0.09 
12.5 6057703026.47 58913812849.73 1.69 2.87557635803e-11 474412244.22 534239015.32 0.0879246250113 0.09 
12.55 6022696756.02 58997957294.21 1.68 2.852452808e-11 473221060.81 532761707.62 0.0881916813997 0.09 
12.6 5987908821.72 59081544985.37 1.67 2.82957025534e-11 472030620.44 531286606.91 0.0884589958947 0.09 
12.65 5953337517.03 59164580274.86 1.66 2.80692566738e-11 470840940.53 529813716.26 0.0887265692799 0.09 
12.7 5918981148.75 59247067480.28 1.65 2.78451605906e-11 469652036.76 528343036.62 0.0889944026773 0.09 
12.75 5884838036.94 59329010885.52 1.64 2.76233849216e-11 468463923.87 526874568.72 0.0892624969303 0.09 
12.8 5850906514.75 59410414740.95 1.63 2.74039007431e-11 467276275.78 525407557.62 0.0895308529158 0.09 
12.85 5817184928.38 59491283263.75 1.62 2.71866795813e-11 466089065.25 523942020.60 0.0897993424252 0.09 
12.9 5783671636.96 59571620638.12 1.61 2.6971693403e-11 464902271.75 522477975.35 0.0900679670755 0.09 
12.95 5750365012.43 59651431015.56 1.60 2.67589146078e-11 463715879.91 521015438.25 0.0903367286639 0.09 
13.0 5717263439.48 59730718515.12 1.59 2.65483160198e-11 462529878.78 519554424.53 0.0906056288822 0.09 
13.05 5684365315.39 59809487223.66 1.58 2.63398708795e-11 461344241.76 518094905.30 0.0908746693287 0.09 
13.1 5651669050.01 59887741196.10 1.57 2.61335528352e-11 460158962.90 516636895.62 0.0911438439564 0.09 
13.15 5619173065.57 59965484455.65 1.55 2.59293359362e-11 458974039.55 515180409.99 0.0914131544238 0.09 
13.2 5586875796.67 60042720994.09 1.54 2.57271946252e-11 457789471.44 513725461.47 0.0916826024011 0.09 
13.25 5554775690.14 60119454772.00 1.53 2.55271037296e-11 456605260.70 512272062.62 0.0919521894105 0.08 
13.3 5522871204.93 60195689718.99 1.52 2.53290384565e-11 455421411.42 510820225.60 0.0922219169952 0.08 
13.35 5491160812.05 60271429733.97 1.51 2.51329743835e-11 454237929.43 509369962.12 0.0924917867258 0.08 
13.4 5459642994.46 60346678685.36 1.50 2.49388874536e-11 453054822.83 507921285.46 0.0927618002005 0.08 
13.45 5428316246.98 60421440411.37 1.50 2.47467539668e-11 451872100.15 506474206.41 0.0930319594114 0.08 
13.5 5397179076.18 60495718720.19 1.49 2.45565505749e-11 450689770.83 505028735.31 0.0933022659996 0.08 
13.55 5366230000.32 60569517390.24 1.48 2.43682542743e-11 449507845.12 503584882.14 0.0935727216354 0.08 
13.6 5335467549.23 60642840170.42 1.47 2.41818424003e-11 448326333.89 502142656.44 0.0938433280176 0.08 
13.65 5304890264.24 60715690780.34 1.46 2.399729262e-11 447145248.50 500702067.38 0.0941140868735 0.08 
13.7 5274496698.07 60788072910.50 1.45 2.38145829272e-11 445964600.71 499263123.71 0.0943849999594 0.08 
13.75 5244285414.76 60859990222.60 1.44 2.36336916357e-11 444784402.54 497825833.82 0.0946560690604 0.08 
13.8 5214254989.58 60931446349.68 1.43 2.34545973745e-11 443604666.19 496390205.71 0.0949272959903 0.08 
13.85 5184404008.91 61002444896.40 1.42 2.32772790814e-11 442425404.02 494956246.98 0.0951986825927 0.08 
13.9 5154731070.22 61072989439.26 1.41 2.31017159978e-11 441246628.39 493523964.88 0.0954702307405 0.08 
13.95 5125234781.90 61143083526.78 1.40 2.29278876628e-11 440068351.24 492093365.28 0.0957419423363 0.08 
14.0 5095913763.24 61212730679.77 1.39 2.2755773909e-11 438890584.39 490664453.72 0.0960138191171 0.08 
14.05 5066766644.32 61281934391.49 1.38 2.25853548561e-11 437713339.53 489237235.41 0.096285862853 0.08 
14.1 5037792065.93 61350698127.93 1.38 2.24166109066e-11 436536592.06 487811634.92 0.0965580753469 0.08 
14.15 5008988679.47 61419025327.97 1.37 2.22495227406e-11 435360349.33 486387659.51 0.0968304424915 0.08 
14.2 4980355146.89 61486919403.61 1.36 2.20840713111e-11 434184619.24 484965315.82 0.0971029664143 0.07 
14.25 4951890140.61 61554383740.19 1.35 2.19202378387e-11 433009410.09 483544610.04 0.0973756492292 0.07 
14.3 4923592343.40 61621421696.59 1.34 2.1758003808e-11 431834730.48 482125547.91 0.0976484930619 0.07 
14.35 4895460448.34 61688036605.42 1.33 2.15973509621e-11 430660589.27 480708134.79 0.0979215000511 0.07 
14.4 4867493158.74 61754231773.27 1.32 2.14382612983e-11 429486995.50 479292375.70 0.0981946723634 0.07 
14.45 4839689188.01 61820010480.87 1.32 2.12807170642e-11 428313958.28 477878275.28 0.098468012193 0.07 
14.5 4812047259.65 61885375983.30 1.31 2.11247007531e-11 427141486.72 476465837.72 0.0987415217624 0.07 
14.55 4784566107.12 61950331510.22 1.30 2.09701950997e-11 425969589.92 475055066.86 0.0990152033031 0.07 
